titre,prix,ville,surface,chambres,salle_de_bain,lien,prix_m2
Appartement à vendre 52 m² à Marrakech,1200000,"Appartements dans Marrakech, Guéliz",52,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Marrakech_56035043.htm,23076
Appartement 67 m² à BOUSKOURA prix imbattable,690000,"Appartements dans Casablanca, Autre secteur",67,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_67_m%C2%B2_%C3%A0_BOUSKOURA_prix_imbattable_57595127.htm,10298
Appartement à vendre 61 m² à Meknès,380000,"Appartements dans Meknès, Autre secteur",64,3,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Mekn%C3%A8s_57198863.htm,5937
CMN-SI-1879 - Appartement à vendre à Ziraoui,3480000,"Appartements dans Casablanca, Bourgogne",260,3,2,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1879___Appartement_%C3%A0_vendre_%C3%A0_Ziraoui_57331613.htm,13384
Appartements à vendre,1220000,"Appartements dans Agadir, Hay Mohammadi",107,3,2,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartements_%C3%A0_vendre_57272868.htm,11401
Appartement à vendre 73m² La Perle Bleue à Dakhla,581625,"Appartements dans Dakhla, Toute la ville",73,3,1,https://www.avito.ma/fr/dakhla/appartements/Appartement_%C3%A0_vendre_73m%C2%B2_La_Perle_Bleue_%C3%A0_Dakhla_56420853.htm,7967
"Appartement à vendre au quatrième étage, excellent emplacement",395000,"Appartements dans Bouznika, Autre secteur",56,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_au_quatri%C3%A8me_%C3%A9tage__excellent_emplacement_57210053.htm,7053
Bassatine,430000,Immobilier neuf dans Casablanca,90,2,2,https://immoneuf.avito.ma/fr/unite/47W?utm_source=avito_integration&utm_medium=listing_integration,4777
Appartement Massira 1 Ahbass 4ème étage,780000,"Appartements dans Marrakech, Massira 1",113,2,1,https://www.avito.ma/fr/massira_1/appartements/Appartement_Massira_1_Ahbass_4%C3%A8me_%C3%A9tage_57648339.htm,6902
Appartement à vendre 165 m² à Casablanca,3500000,"Appartements dans Casablanca, Racine",176,3,3,https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_%C3%A0_Casablanca_57627551.htm,19886
Appartement à vendre105m²Les Jardins de la Coupole,1369592,"Appartements dans Agadir, Av Mokawama",105,4,1,https://www.avito.ma/fr/av_mokawama/appartements/Appartement_%C3%A0_vendre105m%C2%B2Les_Jardins_de_la_Coupole_56420860.htm,13043
Appartement à vendre 95 m² à Marrakech,1350000,"Appartements dans Marrakech, Route de Safi",95,2,1,https://www.avito.ma/fr/route_de_safi/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_57746811.htm,14210
Eden Palace,900000,Immobilier neuf dans Casablanca,90,2,2,https://immoneuf.avito.ma/fr/unite/J3v?utm_source=avito_integration&utm_medium=listing_integration,10000
Appartement à vendre 95 m² à Marrakech palmeraie,1500000,"Appartements dans Marrakech, Palmeraie",95,2,2,https://www.avito.ma/fr/palmeraie/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_palmeraie_57216492.htm,15789
Appartement Ensoleillé à vendre 50 m² à Tamensourt,295000,"Appartements dans Tamensourt, Toute la ville",50,1,1,https://www.avito.ma/fr/tamensourt/appartements/Appartement_Ensoleill%C3%A9_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Tamensourt_57744621.htm,5900
